pairing_type,seed,experiment,metric,value
random,11,image_only,roc_auc,0.3860780423280423
random,11,image_only,brier_score,0.3267927225992331
random,11,early_fusion,accuracy,0.9736842105263158
random,11,early_fusion,precision,0.975609756097561
random,11,early_fusion,recall,0.9523809523809523
random,11,early_fusion,f1_score,0.963855421686747
random,11,early_fusion,roc_auc,0.9983465608465608
random,11,early_fusion,brier_score,0.019979737484428585
random,11,late_fusion,accuracy,0.9736842105263158
random,11,late_fusion,precision,1.0
random,11,late_fusion,recall,0.9285714285714286
random,11,late_fusion,f1_score,0.9629629629629629
random,11,late_fusion,roc_auc,0.9904100529100528
random,11,late_fusion,brier_score,0.09517315354744904
random,21,tabular_only,accuracy,0.9736842105263158
random,21,tabular_only,precision,0.975609756097561
random,21,tabular_only,recall,0.9523809523809523
random,21,tabular_only,f1_score,0.963855421686747
random,21,tabular_only,roc_auc,0.996362433862434
random,21,tabular_only,brier_score,0.023760560146158485
random,21,image_only,accuracy,0.5701754385964912
random,21,image_only,precision,0.3870967741935484
random,21,image_only,recall,0.2857142857142857
random,21,image_only,f1_score,0.3287671232876712
random,21,image_only,roc_auc,0.521494708994709
random,21,image_only,brier_score,0.2734879073346528
random,21,early_fusion,accuracy,0.9385964912280702
random,21,early_fusion,precision,0.926829268292683
random,21,early_fusion,recall,0.9047619047619048
random,21,early_fusion,f1_score,0.9156626506024096
random,21,early_fusion,roc_auc,0.9854497354497355
random,21,early_fusion,brier_score,0.0439164948128111
random,21,late_fusion,accuracy,0.9824561403508771
random,21,late_fusion,precision,1.0
random,21,late_fusion,recall,0.9523809523809523
random,21,late_fusion,f1_score,0.975609756097561
random,21,late_fusion,roc_auc,0.9857804232804233
random,21,late_fusion,brier_score,0.08764900983300056
random,31,tabular_only,accuracy,0.9824561403508771
random,31,tabular_only,precision,1.0
random,31,tabular_only,recall,0.9523809523809523
random,31,tabular_only,f1_score,0.975609756097561
random,31,tabular_only,roc_auc,0.9890873015873016
random,31,tabular_only,brier_score,0.021834815442344356
random,31,image_only,accuracy,0.5964912280701754
random,31,image_only,precision,0.42857142857142855
random,31,image_only,recall,0.2857142857142857
random,31,image_only,f1_score,0.34285714285714286
random,31,image_only,roc_auc,0.4670965608465608
random,31,image_only,brier_score,0.28887122415453587
random,31,early_fusion,accuracy,0.9736842105263158
random,31,early_fusion,precision,0.975609756097561
random,31,early_fusion,recall,0.9523809523809523
random,31,early_fusion,f1_score,0.963855421686747
random,31,early_fusion,roc_auc,0.9768518518518519
random,31,early_fusion,brier_score,0.029606979298194235
random,31,late_fusion,accuracy,0.9649122807017544
random,31,late_fusion,precision,1.0
random,31,late_fusion,recall,0.9047619047619048
random,31,late_fusion,f1_score,0.95
random,31,late_fusion,roc_auc,0.9857804232804233
random,31,late_fusion,brier_score,0.08904973484802918
random,41,tabular_only,accuracy,0.9824561403508771
random,41,tabular_only,precision,1.0
random,41,tabular_only,recall,0.9523809523809523
random,41,tabular_only,f1_score,0.975609756097561
random,41,tabular_only,roc_auc,0.990079365079365
random,41,tabular_only,brier_score,0.01353960529243723
random,41,image_only,accuracy,0.6228070175438597
random,41,image_only,precision,0.4857142857142857
random,41,image_only,recall,0.40476190476190477
random,41,image_only,f1_score,0.44155844155844154
random,41,image_only,roc_auc,0.531084656084656
random,41,image_only,brier_score,0.2625673306180695
random,41,early_fusion,accuracy,0.9824561403508771
random,41,early_fusion,precision,0.9761904761904762
random,41,early_fusion,recall,0.9761904761904762
random,41,early_fusion,f1_score,0.9761904761904762
random,41,early_fusion,roc_auc,0.9990079365079365
random,41,early_fusion,brier_score,0.014351079426722074
random,41,late_fusion,accuracy,0.9824561403508771
random,41,late_fusion,precision,1.0
random,41,late_fusion,recall,0.9523809523809523
random,41,late_fusion,f1_score,0.975609756097561
random,41,late_fusion,roc_auc,0.9950396825396826
random,41,late_fusion,brier_score,0.07372024410300689
random,51,tabular_only,accuracy,0.9824561403508771
random,51,tabular_only,precision,1.0
random,51,tabular_only,recall,0.9523809523809523
random,51,tabular_only,f1_score,0.975609756097561
random,51,tabular_only,roc_auc,0.9996693121693122
random,51,tabular_only,brier_score,0.011596671299502963
random,51,image_only,accuracy,0.6140350877192983
random,51,image_only,precision,0.4642857142857143
random,51,image_only,recall,0.30952380952380953
random,51,image_only,f1_score,0.37142857142857144
random,51,image_only,roc_auc,0.5634920634920635
random,51,image_only,brier_score,0.26096301293114066
random,51,early_fusion,accuracy,0.9912280701754386
random,51,early_fusion,precision,1.0
random,51,early_fusion,recall,0.9761904761904762
random,51,early_fusion,f1_score,0.9879518072289156
random,51,early_fusion,roc_auc,0.9993386243386243
random,51,early_fusion,brier_score,0.009933444313462455
random,51,late_fusion,accuracy,0.9824561403508771
random,51,late_fusion,precision,1.0
random,51,late_fusion,recall,0.9523809523809523
random,51,late_fusion,f1_score,0.975609756097561
random,51,late_fusion,roc_auc,0.9804894179894179
random,51,late_fusion,brier_score,0.07670255918289925
